shuffling training dataset in 2665.80 ms (epoch=0)
  0 7268.54 ms run, 7267.57 ms python,    0.97 ms CUDA, 1185.37 loss, 0.000015 LR, 0.89 GB used,     90.56 GFLOPS,    658.26 GOPS
  1 1126.84 ms run, 1125.65 ms python,    1.19 ms CUDA, 1185.25 loss, 0.000030 LR, 2.09 GB used,    581.17 GFLOPS,    654.88 GOPS
  2   71.51 ms run,    7.65 ms python,   63.85 ms CUDA, 1180.30 loss, 0.000045 LR, 2.09 GB used,   9158.12 GFLOPS,    654.88 GOPS
  3   72.67 ms run,    4.02 ms python,   68.65 ms CUDA, 1173.24 loss, 0.000060 LR, 2.09 GB used,   9011.19 GFLOPS,    654.88 GOPS
  4   71.24 ms run,    3.82 ms python,   67.42 ms CUDA, 1161.18 loss, 0.000075 LR, 2.09 GB used,   9192.48 GFLOPS,    654.88 GOPS
  5   71.87 ms run,    3.77 ms python,   68.10 ms CUDA, 1169.21 loss, 0.000090 LR, 2.09 GB used,   9111.64 GFLOPS,    654.88 GOPS
  6   73.19 ms run,    3.86 ms python,   69.33 ms CUDA, 1167.10 loss, 0.000105 LR, 2.09 GB used,   8947.51 GFLOPS,    654.88 GOPS
  7   71.67 ms run,    3.75 ms python,   67.92 ms CUDA, 1170.07 loss, 0.000120 LR, 2.09 GB used,   9136.80 GFLOPS,    654.88 GOPS
  8   72.74 ms run,    3.88 ms python,   68.86 ms CUDA, 1138.95 loss, 0.000135 LR, 2.09 GB used,   9002.93 GFLOPS,    654.88 GOPS
  9   71.74 ms run,    3.85 ms python,   67.89 ms CUDA, 1149.22 loss, 0.000149 LR, 2.09 GB used,   9128.90 GFLOPS,    654.88 GOPS
 10   72.11 ms run,    3.82 ms python,   68.29 ms CUDA, 1132.55 loss, 0.000164 LR, 2.09 GB used,   9081.28 GFLOPS,    654.88 GOPS
 11   73.02 ms run,    3.92 ms python,   69.10 ms CUDA, 1120.72 loss, 0.000179 LR, 2.09 GB used,   8969.09 GFLOPS,    654.88 GOPS
 12   72.05 ms run,    3.94 ms python,   68.10 ms CUDA, 1115.31 loss, 0.000194 LR, 2.09 GB used,   9089.62 GFLOPS,    654.88 GOPS
 13   72.73 ms run,    3.89 ms python,   68.84 ms CUDA, 1103.48 loss, 0.000209 LR, 2.09 GB used,   9004.34 GFLOPS,    654.88 GOPS
 14   70.88 ms run,    3.84 ms python,   67.04 ms CUDA, 1078.94 loss, 0.000224 LR, 2.09 GB used,   9239.09 GFLOPS,    654.88 GOPS
 15   69.61 ms run,    3.93 ms python,   65.67 ms CUDA, 1068.57 loss, 0.000239 LR, 2.09 GB used,   9408.24 GFLOPS,    654.88 GOPS
 16   73.20 ms run,    3.87 ms python,   69.33 ms CUDA, 1029.97 loss, 0.000254 LR, 2.09 GB used,   8946.64 GFLOPS,    654.88 GOPS
 17   71.97 ms run,    3.86 ms python,   68.10 ms CUDA, 1022.72 loss, 0.000269 LR, 2.09 GB used,   9099.46 GFLOPS,    654.88 GOPS
 18   72.63 ms run,    3.86 ms python,   68.77 ms CUDA,  998.01 loss, 0.000284 LR, 2.09 GB used,   9016.28 GFLOPS,    654.88 GOPS
