shuffling training dataset in 2644.55 ms (epoch=0)
  0 7248.16 ms run, 7247.10 ms python,    1.06 ms CUDA, 1185.37 loss, 0.000015 LR, 0.89 GB used,     90.82 GFLOPS,    658.26 GOPS
  1 1141.82 ms run, 1140.70 ms python,    1.12 ms CUDA, 1185.25 loss, 0.000030 LR, 2.09 GB used,    573.54 GFLOPS,    654.88 GOPS
  2   71.43 ms run,    7.48 ms python,   63.95 ms CUDA, 1180.30 loss, 0.000045 LR, 2.09 GB used,   9167.89 GFLOPS,    654.88 GOPS
  3   72.43 ms run,    4.11 ms python,   68.32 ms CUDA, 1173.24 loss, 0.000060 LR, 2.09 GB used,   9041.06 GFLOPS,    654.88 GOPS
  4   71.86 ms run,    3.92 ms python,   67.94 ms CUDA, 1161.18 loss, 0.000075 LR, 2.09 GB used,   9113.60 GFLOPS,    654.88 GOPS
  5   72.71 ms run,    3.99 ms python,   68.72 ms CUDA, 1169.21 loss, 0.000090 LR, 2.09 GB used,   9007.08 GFLOPS,    654.88 GOPS
  6   72.38 ms run,    3.91 ms python,   68.47 ms CUDA, 1167.10 loss, 0.000105 LR, 2.09 GB used,   9048.21 GFLOPS,    654.88 GOPS
  7   71.99 ms run,    3.92 ms python,   68.06 ms CUDA, 1170.07 loss, 0.000120 LR, 2.09 GB used,   9097.22 GFLOPS,    654.88 GOPS
  8   72.52 ms run,    3.96 ms python,   68.57 ms CUDA, 1138.95 loss, 0.000135 LR, 2.09 GB used,   9030.06 GFLOPS,    654.88 GOPS
  9   71.12 ms run,    3.70 ms python,   67.42 ms CUDA, 1149.22 loss, 0.000149 LR, 2.09 GB used,   9208.66 GFLOPS,    654.88 GOPS
 10   72.29 ms run,    3.94 ms python,   68.36 ms CUDA, 1132.55 loss, 0.000164 LR, 2.09 GB used,   9058.61 GFLOPS,    654.88 GOPS
 11   71.66 ms run,    3.93 ms python,   67.73 ms CUDA, 1120.72 loss, 0.000179 LR, 2.09 GB used,   9138.48 GFLOPS,    654.88 GOPS
 12   72.02 ms run,    3.92 ms python,   68.10 ms CUDA, 1115.31 loss, 0.000194 LR, 2.09 GB used,   9093.02 GFLOPS,    654.88 GOPS
 13   72.96 ms run,    3.94 ms python,   69.02 ms CUDA, 1103.48 loss, 0.000209 LR, 2.09 GB used,   8975.49 GFLOPS,    654.88 GOPS
