shuffling training dataset in 81.14 ms (epoch=0)
  0 6111.70 ms run, 6110.69 ms python,    1.01 ms CUDA, 1187.85 loss, 0.000015 LR, 1.68 GB used,    116.21 GFLOPS,    710.26 GOPS
  1 1092.63 ms run, 1091.44 ms python,    1.18 ms CUDA, 1184.85 loss, 0.000030 LR, 2.89 GB used,    599.36 GFLOPS,    654.88 GOPS
  2   75.08 ms run,   11.27 ms python,   63.81 ms CUDA, 1184.01 loss, 0.000045 LR, 2.89 GB used,   8722.51 GFLOPS,    654.88 GOPS
  3   76.07 ms run,    7.18 ms python,   68.88 ms CUDA, 1174.82 loss, 0.000060 LR, 2.89 GB used,   8609.20 GFLOPS,    654.88 GOPS
  4   74.17 ms run,    6.98 ms python,   67.19 ms CUDA, 1168.06 loss, 0.000075 LR, 2.89 GB used,   8828.94 GFLOPS,    654.88 GOPS
  5   75.07 ms run,    7.06 ms python,   68.01 ms CUDA, 1166.45 loss, 0.000090 LR, 2.89 GB used,   8723.21 GFLOPS,    654.88 GOPS
  6   75.12 ms run,    7.03 ms python,   68.09 ms CUDA, 1161.73 loss, 0.000105 LR, 2.89 GB used,   8718.29 GFLOPS,    654.88 GOPS
  7   76.12 ms run,    6.90 ms python,   69.22 ms CUDA, 1151.20 loss, 0.000120 LR, 2.89 GB used,   8603.23 GFLOPS,    654.88 GOPS
  8   74.06 ms run,    7.13 ms python,   66.93 ms CUDA, 1153.14 loss, 0.000135 LR, 2.89 GB used,   8842.81 GFLOPS,    654.88 GOPS
  9   74.72 ms run,    7.00 ms python,   67.72 ms CUDA, 1144.76 loss, 0.000149 LR, 2.89 GB used,   8764.61 GFLOPS,    654.88 GOPS
 10   75.24 ms run,    6.91 ms python,   68.34 ms CUDA, 1140.76 loss, 0.000164 LR, 2.89 GB used,   8703.68 GFLOPS,    654.88 GOPS
 11   76.01 ms run,    6.97 ms python,   69.04 ms CUDA, 1112.78 loss, 0.000179 LR, 2.89 GB used,   8615.18 GFLOPS,    654.88 GOPS
 12   74.54 ms run,    7.01 ms python,   67.53 ms CUDA, 1109.27 loss, 0.000194 LR, 2.89 GB used,   8785.66 GFLOPS,    654.88 GOPS
 13   75.20 ms run,    6.92 ms python,   68.28 ms CUDA, 1099.51 loss, 0.000209 LR, 2.89 GB used,   8708.78 GFLOPS,    654.88 GOPS
 14   75.79 ms run,    6.97 ms python,   68.81 ms CUDA, 1075.67 loss, 0.000224 LR, 2.89 GB used,   8641.16 GFLOPS,    654.88 GOPS
 15   75.44 ms run,    6.88 ms python,   68.56 ms CUDA, 1057.91 loss, 0.000239 LR, 2.89 GB used,   8680.83 GFLOPS,    654.88 GOPS
 16   74.84 ms run,    6.93 ms python,   67.91 ms CUDA, 1035.13 loss, 0.000254 LR, 2.89 GB used,   8750.28 GFLOPS,    654.88 GOPS
 17   74.56 ms run,    6.78 ms python,   67.78 ms CUDA, 1034.51 loss, 0.000269 LR, 2.89 GB used,   8783.00 GFLOPS,    654.88 GOPS
 18   75.54 ms run,    7.06 ms python,   68.48 ms CUDA, 1012.75 loss, 0.000284 LR, 2.89 GB used,   8669.78 GFLOPS,    654.88 GOPS
 19   75.03 ms run,    6.91 ms python,   68.13 ms CUDA,  998.00 loss, 0.000299 LR, 2.89 GB used,   8728.07 GFLOPS,    654.88 GOPS
 20   74.86 ms run,    6.92 ms python,   67.95 ms CUDA,  986.23 loss, 0.000314 LR, 2.89 GB used,   8747.51 GFLOPS,    654.88 GOPS
 21   76.08 ms run,    7.68 ms python,   68.40 ms CUDA,  973.47 loss, 0.000329 LR, 2.89 GB used,   8607.69 GFLOPS,    654.88 GOPS
 22   77.36 ms run,    9.48 ms python,   67.88 ms CUDA,  963.80 loss, 0.000344 LR, 2.89 GB used,   8465.21 GFLOPS,    654.88 GOPS
 23   75.82 ms run,    7.11 ms python,   68.71 ms CUDA,  955.50 loss, 0.000359 LR, 2.89 GB used,   8637.12 GFLOPS,    654.88 GOPS
 24   75.31 ms run,    6.81 ms python,   68.50 ms CUDA,  938.07 loss, 0.000374 LR, 2.89 GB used,   8695.79 GFLOPS,    654.88 GOPS
 25   75.16 ms run,    7.13 ms python,   68.03 ms CUDA,  983.66 loss, 0.000389 LR, 2.89 GB used,   8713.10 GFLOPS,    654.88 GOPS
 26   75.29 ms run,    7.04 ms python,   68.25 ms CUDA, 1006.06 loss, 0.000404 LR, 2.89 GB used,   8697.77 GFLOPS,    654.88 GOPS
 27   75.57 ms run,    7.14 ms python,   68.43 ms CUDA,  944.68 loss, 0.000418 LR, 2.89 GB used,   8665.47 GFLOPS,    654.88 GOPS
 28   74.81 ms run,    6.88 ms python,   67.93 ms CUDA,  976.29 loss, 0.000433 LR, 2.89 GB used,   8753.43 GFLOPS,    654.88 GOPS
 29   75.52 ms run,    7.02 ms python,   68.50 ms CUDA, 1019.61 loss, 0.000448 LR, 2.89 GB used,   8671.22 GFLOPS,    654.88 GOPS
 30   75.19 ms run,    6.91 ms python,   68.28 ms CUDA,  964.50 loss, 0.000463 LR, 2.89 GB used,   8709.20 GFLOPS,    654.88 GOPS
 31   75.11 ms run,    7.00 ms python,   68.11 ms CUDA,  908.56 loss, 0.000478 LR, 2.89 GB used,   8718.99 GFLOPS,    654.88 GOPS
 32   74.98 ms run,    7.09 ms python,   67.90 ms CUDA,  898.60 loss, 0.000493 LR, 2.89 GB used,   8733.59 GFLOPS,    654.88 GOPS
 33   75.96 ms run,    6.79 ms python,   69.17 ms CUDA,  912.23 loss, 0.000508 LR, 2.89 GB used,   8621.49 GFLOPS,    654.88 GOPS
 34   75.24 ms run,    7.09 ms python,   68.15 ms CUDA,  879.14 loss, 0.000523 LR, 2.89 GB used,   8703.93 GFLOPS,    654.88 GOPS
 35   75.13 ms run,    6.97 ms python,   68.16 ms CUDA,  883.11 loss, 0.000538 LR, 2.89 GB used,   8716.38 GFLOPS,    654.88 GOPS
 36   75.44 ms run,    6.90 ms python,   68.54 ms CUDA,  881.15 loss, 0.000553 LR, 2.89 GB used,   8681.15 GFLOPS,    654.88 GOPS
 37   75.91 ms run,    6.99 ms python,   68.92 ms CUDA,  897.87 loss, 0.000568 LR, 2.89 GB used,   8627.02 GFLOPS,    654.88 GOPS
 38   75.11 ms run,    7.05 ms python,   68.07 ms CUDA,  875.87 loss, 0.000583 LR, 2.89 GB used,   8718.44 GFLOPS,    654.88 GOPS
 39   75.27 ms run,    7.11 ms python,   68.16 ms CUDA,  885.08 loss, 0.000598 LR, 2.89 GB used,   8699.93 GFLOPS,    654.88 GOPS
 40   75.17 ms run,    6.85 ms python,   68.32 ms CUDA,  870.48 loss, 0.000613 LR, 2.89 GB used,   8711.91 GFLOPS,    654.88 GOPS
 41   74.68 ms run,    7.69 ms python,   67.00 ms CUDA,  836.67 loss, 0.000628 LR, 2.89 GB used,   8768.55 GFLOPS,    654.88 GOPS
 42   75.05 ms run,    6.99 ms python,   68.06 ms CUDA,  844.91 loss, 0.000643 LR, 2.89 GB used,   8725.47 GFLOPS,    654.88 GOPS
 43   75.54 ms run,    7.02 ms python,   68.52 ms CUDA,  832.24 loss, 0.000658 LR, 2.89 GB used,   8669.05 GFLOPS,    654.88 GOPS
 44   75.66 ms run,    6.99 ms python,   68.67 ms CUDA,  844.83 loss, 0.000673 LR, 2.89 GB used,   8655.62 GFLOPS,    654.88 GOPS
 45   75.32 ms run,    7.17 ms python,   68.15 ms CUDA,  883.37 loss, 0.000688 LR, 2.89 GB used,   8694.05 GFLOPS,    654.88 GOPS
 46   80.23 ms run,   10.49 ms python,   69.74 ms CUDA,  873.50 loss, 0.000702 LR, 2.89 GB used,   8162.27 GFLOPS,    654.88 GOPS
 47   76.77 ms run,    6.97 ms python,   69.80 ms CUDA,  846.05 loss, 0.000717 LR, 2.89 GB used,   8530.49 GFLOPS,    654.88 GOPS
 48   74.81 ms run,    6.87 ms python,   67.94 ms CUDA,  839.02 loss, 0.000732 LR, 2.89 GB used,   8753.83 GFLOPS,    654.88 GOPS
 49   78.53 ms run,   10.49 ms python,   68.05 ms CUDA,  823.00 loss, 0.000747 LR, 2.89 GB used,   8338.72 GFLOPS,    654.88 GOPS
 50   75.17 ms run,    6.86 ms python,   68.31 ms CUDA,  863.94 loss, 0.000762 LR, 2.89 GB used,   8711.97 GFLOPS,    654.88 GOPS
 51   75.21 ms run,    7.13 ms python,   68.08 ms CUDA,  833.76 loss, 0.000777 LR, 2.89 GB used,   8706.78 GFLOPS,    654.88 GOPS
 52   75.25 ms run,    6.84 ms python,   68.41 ms CUDA,  821.72 loss, 0.000792 LR, 2.89 GB used,   8702.71 GFLOPS,    654.88 GOPS
 53   74.95 ms run,    6.95 ms python,   68.00 ms CUDA,  815.48 loss, 0.000807 LR, 2.89 GB used,   8738.11 GFLOPS,    654.88 GOPS
 54   75.55 ms run,    7.57 ms python,   67.98 ms CUDA,  814.97 loss, 0.000822 LR, 2.89 GB used,   8668.32 GFLOPS,    654.88 GOPS
 55   75.58 ms run,    6.94 ms python,   68.63 ms CUDA,  792.60 loss, 0.000837 LR, 2.89 GB used,   8665.15 GFLOPS,    654.88 GOPS
 56   76.16 ms run,    6.82 ms python,   69.34 ms CUDA,  800.12 loss, 0.000852 LR, 2.89 GB used,   8598.72 GFLOPS,    654.88 GOPS
 57   75.35 ms run,    7.25 ms python,   68.10 ms CUDA,  773.95 loss, 0.000867 LR, 2.89 GB used,   8691.27 GFLOPS,    654.88 GOPS
