shuffling training dataset in 79.67 ms (epoch=0)
  0 6003.44 ms run, 6002.48 ms python,    0.96 ms CUDA, 1187.85 loss, 0.000015 LR, 1.68 GB used,    118.31 GFLOPS,    710.26 GOPS
  1 1090.67 ms run, 1089.50 ms python,    1.17 ms CUDA, 1184.85 loss, 0.000030 LR, 2.89 GB used,    600.44 GFLOPS,    654.88 GOPS
  2   75.37 ms run,   10.97 ms python,   64.40 ms CUDA, 1184.01 loss, 0.000045 LR, 2.89 GB used,   8688.76 GFLOPS,    654.88 GOPS
  3   74.02 ms run,    7.03 ms python,   66.99 ms CUDA, 1174.82 loss, 0.000060 LR, 2.89 GB used,   8847.14 GFLOPS,    654.88 GOPS
  4   74.95 ms run,    6.94 ms python,   68.01 ms CUDA, 1168.06 loss, 0.000075 LR, 2.89 GB used,   8738.00 GFLOPS,    654.88 GOPS
  5   76.39 ms run,    7.07 ms python,   69.32 ms CUDA, 1166.45 loss, 0.000090 LR, 2.89 GB used,   8573.38 GFLOPS,    654.88 GOPS
  6   74.25 ms run,    6.58 ms python,   67.66 ms CUDA, 1161.73 loss, 0.000105 LR, 2.89 GB used,   8820.05 GFLOPS,    654.88 GOPS
  7   75.30 ms run,    7.07 ms python,   68.23 ms CUDA, 1151.20 loss, 0.000120 LR, 2.89 GB used,   8696.97 GFLOPS,    654.88 GOPS
  8   75.64 ms run,    6.68 ms python,   68.96 ms CUDA, 1153.14 loss, 0.000135 LR, 2.89 GB used,   8658.16 GFLOPS,    654.88 GOPS
  9   75.92 ms run,    6.88 ms python,   69.04 ms CUDA, 1144.76 loss, 0.000149 LR, 2.89 GB used,   8625.89 GFLOPS,    654.88 GOPS
 10   75.33 ms run,    6.81 ms python,   68.52 ms CUDA, 1140.76 loss, 0.000164 LR, 2.89 GB used,   8693.15 GFLOPS,    654.88 GOPS
 11   75.35 ms run,    6.91 ms python,   68.43 ms CUDA, 1112.78 loss, 0.000179 LR, 2.89 GB used,   8691.65 GFLOPS,    654.88 GOPS
 12   75.27 ms run,    6.67 ms python,   68.60 ms CUDA, 1109.27 loss, 0.000194 LR, 2.89 GB used,   8700.60 GFLOPS,    654.88 GOPS
 13   74.97 ms run,    7.02 ms python,   67.96 ms CUDA, 1099.51 loss, 0.000209 LR, 2.89 GB used,   8734.73 GFLOPS,    654.88 GOPS
 14   75.81 ms run,    6.82 ms python,   68.99 ms CUDA, 1075.67 loss, 0.000224 LR, 2.89 GB used,   8638.64 GFLOPS,    654.88 GOPS
 15   74.94 ms run,    6.98 ms python,   67.96 ms CUDA, 1057.91 loss, 0.000239 LR, 2.89 GB used,   8739.01 GFLOPS,    654.88 GOPS
 16   74.40 ms run,    6.55 ms python,   67.85 ms CUDA, 1035.13 loss, 0.000254 LR, 2.89 GB used,   8801.88 GFLOPS,    654.88 GOPS
 17   75.00 ms run,    7.06 ms python,   67.94 ms CUDA, 1034.51 loss, 0.000269 LR, 2.89 GB used,   8731.88 GFLOPS,    654.88 GOPS
 18   75.95 ms run,    6.70 ms python,   69.25 ms CUDA, 1012.75 loss, 0.000284 LR, 2.89 GB used,   8622.43 GFLOPS,    654.88 GOPS
 19   75.20 ms run,    7.03 ms python,   68.16 ms CUDA,  998.00 loss, 0.000299 LR, 2.89 GB used,   8709.04 GFLOPS,    654.88 GOPS
 20   74.98 ms run,    6.92 ms python,   68.06 ms CUDA,  986.23 loss, 0.000314 LR, 2.89 GB used,   8734.26 GFLOPS,    654.88 GOPS
 21   76.05 ms run,    7.90 ms python,   68.14 ms CUDA,  973.47 loss, 0.000329 LR, 2.89 GB used,   8611.67 GFLOPS,    654.88 GOPS
 22   77.34 ms run,    9.52 ms python,   67.82 ms CUDA,  963.80 loss, 0.000344 LR, 2.89 GB used,   8467.79 GFLOPS,    654.88 GOPS
 23   75.46 ms run,    6.94 ms python,   68.52 ms CUDA,  955.50 loss, 0.000359 LR, 2.89 GB used,   8679.04 GFLOPS,    654.88 GOPS
 24   74.64 ms run,    6.47 ms python,   68.17 ms CUDA,  938.07 loss, 0.000374 LR, 2.89 GB used,   8773.98 GFLOPS,    654.88 GOPS
 25   75.32 ms run,    7.01 ms python,   68.31 ms CUDA,  983.66 loss, 0.000389 LR, 2.89 GB used,   8694.17 GFLOPS,    654.88 GOPS
 26   74.54 ms run,    6.55 ms python,   67.99 ms CUDA, 1006.06 loss, 0.000404 LR, 2.89 GB used,   8785.38 GFLOPS,    654.88 GOPS
 27   75.63 ms run,    6.91 ms python,   68.71 ms CUDA,  944.68 loss, 0.000418 LR, 2.89 GB used,   8659.18 GFLOPS,    654.88 GOPS
 28   74.58 ms run,    6.44 ms python,   68.14 ms CUDA,  976.29 loss, 0.000433 LR, 2.89 GB used,   8780.53 GFLOPS,    654.88 GOPS
 29   75.33 ms run,    6.91 ms python,   68.42 ms CUDA, 1019.61 loss, 0.000448 LR, 2.89 GB used,   8693.72 GFLOPS,    654.88 GOPS
 30   75.17 ms run,    6.98 ms python,   68.18 ms CUDA,  964.50 loss, 0.000463 LR, 2.89 GB used,   8712.37 GFLOPS,    654.88 GOPS
 31   76.42 ms run,    6.80 ms python,   69.62 ms CUDA,  908.56 loss, 0.000478 LR, 2.89 GB used,   8569.56 GFLOPS,    654.88 GOPS
 32   74.49 ms run,    6.75 ms python,   67.75 ms CUDA,  898.60 loss, 0.000493 LR, 2.89 GB used,   8791.04 GFLOPS,    654.88 GOPS
 33   74.45 ms run,    6.71 ms python,   67.74 ms CUDA,  912.23 loss, 0.000508 LR, 2.89 GB used,   8796.08 GFLOPS,    654.88 GOPS
 34   75.20 ms run,    6.75 ms python,   68.45 ms CUDA,  879.14 loss, 0.000523 LR, 2.89 GB used,   8708.42 GFLOPS,    654.88 GOPS
 35   76.63 ms run,    6.85 ms python,   69.78 ms CUDA,  883.11 loss, 0.000538 LR, 2.89 GB used,   8545.59 GFLOPS,    654.88 GOPS
 36   74.57 ms run,    6.51 ms python,   68.06 ms CUDA,  881.15 loss, 0.000553 LR, 2.89 GB used,   8781.87 GFLOPS,    654.88 GOPS
 37   75.19 ms run,    6.94 ms python,   68.25 ms CUDA,  897.87 loss, 0.000568 LR, 2.89 GB used,   8709.31 GFLOPS,    654.88 GOPS
 38   75.89 ms run,    6.86 ms python,   69.03 ms CUDA,  875.87 loss, 0.000583 LR, 2.89 GB used,   8628.93 GFLOPS,    654.88 GOPS
 39   75.52 ms run,    6.92 ms python,   68.60 ms CUDA,  885.08 loss, 0.000598 LR, 2.89 GB used,   8671.29 GFLOPS,    654.88 GOPS
 40   74.92 ms run,    6.81 ms python,   68.10 ms CUDA,  870.48 loss, 0.000613 LR, 2.89 GB used,   8741.44 GFLOPS,    654.88 GOPS
 41   75.84 ms run,    7.60 ms python,   68.25 ms CUDA,  836.67 loss, 0.000628 LR, 2.89 GB used,   8634.74 GFLOPS,    654.88 GOPS
 42   75.50 ms run,    6.86 ms python,   68.65 ms CUDA,  844.91 loss, 0.000643 LR, 2.89 GB used,   8673.41 GFLOPS,    654.88 GOPS
 43   75.03 ms run,    6.95 ms python,   68.07 ms CUDA,  832.24 loss, 0.000658 LR, 2.89 GB used,   8728.52 GFLOPS,    654.88 GOPS
 44   76.19 ms run,    6.57 ms python,   69.62 ms CUDA,  844.83 loss, 0.000673 LR, 2.89 GB used,   8595.12 GFLOPS,    654.88 GOPS
 45   74.89 ms run,    6.68 ms python,   68.21 ms CUDA,  883.37 loss, 0.000688 LR, 2.89 GB used,   8744.15 GFLOPS,    654.88 GOPS
